alpha,layer,activation_rms,gradient_rms,active_fraction,finite
1.0,5,0.3585371673107147,0.00010431010741740465,0.5259374976158142,True
1.0,6,0.3592297434806824,0.00010964403190882877,0.49585068225860596,True
1.0,7,0.34673959016799927,0.00011489762255223468,0.4834982752799988,True
1.0,8,0.34794485569000244,0.00011722536146407947,0.4514930546283722,True
1.0,9,0.40207529067993164,0.00011351428838679567,0.5337326526641846,True
1.0,10,0.4224122166633606,0.0001085787225747481,0.5033767223358154,True
1.0,11,0.361824631690979,0.0001079886787920259,0.44880208373069763,True
1.0,12,0.42717885971069336,0.00010789735824801028,0.5161371231079102,True
1.0,13,0.4435230493545532,0.0001033975204336457,0.5249739289283752,True
1.0,14,0.42159906029701233,0.00011048420856241137,0.4738020896911621,True
1.0,15,0.4295242130756378,0.00011289010581094772,0.44930556416511536,True
1.0,16,0.44913533329963684,0.00010674791701603681,0.5467968583106995,True
1.0,17,0.48667702078819275,0.00010288185876561329,0.5511631965637207,True
1.0,18,0.49159568548202515,0.00010203848796663806,0.5125607848167419,True
1.0,19,0.5542324185371399,9.467396012041718e-05,0.5455121397972107,True
1.0,20,0.5845175981521606,9.336684888694435e-05,0.46242186427116394,True
1.0,21,0.6305431723594666,8.61750086187385e-05,0.5468662977218628,True
1.0,22,0.6317399144172668,9.378096729051322e-05,0.46270832419395447,True
1.0,23,0.6445769667625427,9.370935731567442e-05,0.5031510591506958,True
1.0,24,0.640672504901886,8.525727753294632e-05,0.5238454937934875,True
1.0,25,0.7179685831069946,9.019691788125783e-05,0.4878385365009308,True
1.0,26,0.7962704300880432,9.229910210706294e-05,0.5372569561004639,True
1.0,27,0.8604314923286438,9.28622466744855e-05,0.5396093726158142,True
1.0,28,0.788122832775116,0.0001037280453601852,0.4742708206176758,True
1.0,29,0.9592750072479248,0.00011039617675123736,0.5450173616409302,True
1.0,30,1.0968693494796753,0.00011222848843317479,0.4928819537162781,True
1.5,0,0.4191279113292694,415.3595886230469,,True
1.5,1,0.5852258205413818,25.551836013793945,0.499982625246048,True
1.5,2,0.8753709197044373,17.865480422973633,0.4655382037162781,True
1.5,3,1.1992578506469727,12.050222396850586,0.47453126311302185,True
1.5,4,1.6087812185287476,8.33574104309082,0.4668402671813965,True
1.5,5,2.7226414680480957,5.432211875915527,0.5259374976158142,True
1.5,6,4.091851234436035,3.8878273963928223,0.49585068225860596,True
1.5,7,5.924370765686035,2.6872828006744385,0.4834982752799988,True
1.5,8,8.91744613647461,1.8364487886428833,0.4514930546283722,True
1.5,9,15.457124710083008,1.1819220781326294,0.5337326526641846,True
1.5,10,24.358417510986328,0.7500388026237488,0.5033767223358154,True
1.5,11,31.29694938659668,0.49631285667419434,0.44880208373069763,True
1.5,12,55.42489242553711,0.3239923417568207,0.5161371231079102,True
1.5,13,86.3182373046875,0.2096673846244812,0.5249739289283752,True
1.5,14,123.07709503173828,0.15204130113124847,0.4738020896911621,True
1.5,15,188.08602905273438,0.10289505869150162,0.44930556416511536,True
1.5,16,295.0104064941406,0.06414134800434113,0.5467968583106995,True
1.5,17,479.5039978027344,0.04170289635658264,0.5511631965637207,True
1.5,18,726.5252685546875,0.02728254161775112,0.5125607848167419,True
1.5,19,1228.643310546875,0.016855135560035706,0.5455121397972107,True
1.5,20,1943.6710205078125,0.011057487688958645,0.46242186427116394,True
1.5,21,3145.076904296875,0.006908451206982136,0.5468662977218628,True
1.5,22,4726.56884765625,0.0049706678837537766,0.46270832419395447,True
1.5,23,7233.92041015625,0.003313436172902584,0.5031510591506958,True
1.5,24,10785.1533203125,0.00199666665866971,0.5238454937934875,True
1.5,25,18129.546875,0.0014434015611186624,0.4878385365009308,True
1.5,26,30160.138671875,0.0009794156067073345,0.5372569561004639,True
1.5,27,48885.52734375,0.0006407791515812278,0.5396093726158142,True
1.5,28,67165.953125,0.0004632087948266417,0.4742708206176758,True
1.5,29,122628.0,0.0003316714137326926,0.5450173616409302,True
1.5,30,210325.84375,0.00022521740174852312,0.4928819537162781,True
