route,layer,activation_rms,gradient_rms,active_fraction,finite
batchnorm,26,0.7283079624176025,0.00010533391468925402,0.4865451455116272,True
batchnorm,27,0.7094557881355286,9.01756138773635e-05,0.501866340637207,True
batchnorm,28,0.6989917159080505,7.385632488876581e-05,0.505616307258606,True
batchnorm,29,0.7170917391777039,6.272619793890044e-05,0.49632811546325684,True
batchnorm,30,0.7125635743141174,5.3085823310539126e-05,0.4969531297683716,True
residual,0,0.4191279113292694,0.329336553812027,,True
residual,1,0.19507528841495514,0.015811756253242493,0.499982625246048,True
residual,2,0.2428605854511261,0.01263347826898098,0.7328038215637207,True
residual,3,0.3076128363609314,0.009653412736952305,0.8733593821525574,True
residual,4,0.3932906985282898,0.007338494528084993,0.9233593940734863,True
residual,5,0.5239772796630859,0.005510339047759771,0.9671006798744202,True
residual,6,0.6974733471870422,0.004302293993532658,0.9796267151832581,True
residual,7,0.895052433013916,0.003279788652434945,0.9884635210037231,True
residual,8,1.2093698978424072,0.002398647600784898,0.9909722208976746,True
residual,9,1.627895712852478,0.0017739784670993686,0.9942187666893005,True
residual,10,2.1925606727600098,0.0013399318559095263,0.9948090314865112,True
residual,11,2.824589252471924,0.0010448534740135074,0.9952256679534912,True
residual,12,4.090261936187744,0.0008239422459155321,1.0,True
residual,13,5.21318244934082,0.0006822378491051495,1.0,True
residual,14,6.722602367401123,0.0005463839625008404,1.0,True
residual,15,8.935173988342285,0.0004698958364315331,1.0,True
residual,16,12.131841659545898,0.0003766981535591185,1.0,True
residual,17,16.41127586364746,0.0003128501703031361,1.0,True
residual,18,22.890228271484375,0.0002676272706594318,1.0,True
residual,19,31.04776382446289,0.0002202805335400626,1.0,True
residual,20,42.156837463378906,0.00019637861987575889,1.0,True
residual,21,58.799190521240234,0.00017015937191899866,1.0,True
residual,22,76.04467010498047,0.00015506560157518834,1.0,True
residual,23,102.16929626464844,0.00014083311543799937,1.0,True
residual,24,137.4907989501953,0.00012271116429474205,1.0,True
residual,25,189.12171936035156,0.00011177872511325404,1.0,True
residual,26,259.2914733886719,0.00010456645395606756,1.0,True
residual,27,330.3735046386719,9.53856942942366e-05,1.0,True
residual,28,412.04248046875,8.715900185052305e-05,1.0,True
residual,29,525.1405029296875,8.217041613534093e-05,1.0,True
residual,30,698.5706176757812,7.4981406214647e-05,1.0,True
