update,train_nll,heldout_nll
138,0.6456513944773826,0.6789057027794492
139,0.6456387327672967,0.679478130250659
140,0.645635542468537,0.6790438957527157
141,0.6456435542583918,0.6795236504916432
142,0.6456655829542525,0.6790526561338164
143,0.6457083894470251,0.6796350733086884
144,0.6457772435287428,0.6792557584031068
145,0.6458977540507901,0.6797251397415959
146,0.6460652658175722,0.679146390905229
147,0.6463081219118327,0.6807426530914633
148,0.6464877752660524,0.6795416604320508
149,0.6465284222333716,0.6814108471637261
150,0.6462253541396884,0.6791149630908796
151,0.6458091371007907,0.6802795296309747
152,0.6455551047871223,0.6791078876259677
153,0.6456211534674122,0.6787564539650649
154,0.6458653985278039,0.6804805661420157
155,0.646019110451742,0.6789142167345978
156,0.6459579568328461,0.6802835701523906
157,0.6457262648629454,0.6789336144855382
158,0.6455610044685773,0.6790358506164706
159,0.645568974497625,0.6797910334905873
160,0.6456843551989875,0.6785026745275041
161,0.6457642017611163,0.6806208613243466
162,0.6457234431570187,0.6787370548534455
163,0.6456173145511945,0.6794583347986441
164,0.6455412394377179,0.6791544492379278
165,0.6455493069241348,0.678499582849911
166,0.6456029557419252,0.6805469973195208
167,0.6456295176591723,0.6783223583615555
168,0.6456006792272851,0.6800860614709984
169,0.6455435654222906,0.6787038436145311
170,0.6455096740813921,0.6788002000963382
171,0.6455168241514339,0.6797060599980671
172,0.6455463637429636,0.6785626138789721
173,0.6455644492108316,0.6802580445848591
174,0.6455492987322801,0.678341395708227
175,0.6455093213569401,0.6800309692684752
176,0.6454690141760671,0.6787192001497853
177,0.6454507381842379,0.6788863301371735
178,0.6454582350800138,0.6793936982977425
179,0.6454800676594086,0.6786585319192678
180,0.6455013402693596,0.6799432678960408
181,0.6455117855876175,0.6783508355828235
182,0.6455103741305417,0.6801048803724586
183,0.6455026990595341,0.6784308550008116
184,0.645498782890529,0.6796904572831418
185,0.6455110794546799,0.6787570424981483
186,0.6455493001173858,0.6793792969323772
187,0.6456320182879178,0.6790782722777169
188,0.6457642475743915,0.6793821059709891
189,0.6459835470039242,0.6795794129388395
190,0.6461930306116589,0.6794638089089643
191,0.6463940700242459,0.6795182395926528
192,0.6462584893428319,0.6800127302417275
193,0.6459177459430132,0.6789278665876541
194,0.6455277379793554,0.6795294331105344
195,0.6454299326976908,0.6787308730082213
196,0.645627522203775,0.6797349369225163
197,0.6458651671414766,0.6789938310727227
198,0.6459239566485959,0.6800284678666177
199,0.6457235433891196,0.678534328151637
200,0.6455183718917329,0.680099855657067
201,0.645500102373206,0.6784454332043822
202,0.6456557171795401,0.6806391422372392
203,0.6458053096137613,0.6780018050551531
204,0.6457901213150237,0.6809871427463366
205,0.6456702435881047,0.6778694129131555
206,0.6455897814467743,0.6808528449699202
207,0.6456310822765879,0.6780759034661944
208,0.6457257497726051,0.6809373893646439
209,0.645732066357156,0.6781032509513953
210,0.6456319989176615,0.6805209468758131
211,0.6454867330039263,0.6782030315156931
212,0.6454090564541427,0.6797761341917734
213,0.6454192595849257,0.6785188269180858
214,0.6454602106040124,0.6792414853041732
215,0.6454736960661128,0.6792067068063612
216,0.645443142159302,0.6787783809159644
217,0.6454115220498122,0.679760020435775
218,0.6454154792258598,0.6782408079558665
219,0.6454601925920385,0.680397332130333
220,0.6455176892518011,0.6778883978568007
221,0.6455564000669407,0.6807309614296727
222,0.6455658473093823,0.677659207565772
223,0.6455559968424931,0.6809656319853
224,0.6455416676773471,0.6777864649695327
225,0.6455370196655411,0.6809988603679767
226,0.6455312571714751,0.6778332618254199
227,0.6455193020870641,0.680661363364482
228,0.6454884978665498,0.677984340442651
229,0.6454452499495907,0.6800126723965502
230,0.6453966158436256,0.6783514817516357
231,0.6453574213003199,0.6794430074773078
232,0.6453344547668174,0.6789142510288819
233,0.645329348693233,0.6789292445970884
234,0.6453383026246593,0.67922238695071
235,0.645355731719633,0.6784693860146391
236,0.6453773418972525,0.6796939231997775
237,0.6454001726898151,0.6782189442292686
238,0.6454253887880702,0.6802556861826375
239,0.6454123079736275,0.6782197958964234
240,0.6453630391639223,0.6797574335339395
241,0.645333103375535,0.6784545761358174
242,0.6453452651978058,0.6787380751549581
243,0.6453691533814391,0.6803022244072238
244,0.6453705509974884,0.6774220733709858
245,0.6453450739546052,0.6800143401435362
246,0.6453202364037166,0.6788510955276862
247,0.6453186311581235,0.6785036926080148
248,0.6453351835913076,0.6797997744848898
249,0.645352012120213,0.6779858568750978
250,0.6453571308210854,0.6796916822710313
251,0.6453572322839553,0.6785762828604702
252,0.645371727771917,0.6793820594340528
253,0.6454191990517687,0.6790307162894398
254,0.6455244958560339,0.678860272344906
255,0.6457015167777952,0.6799762689944078
256,0.6460197901665362,0.6785575235906187
257,0.6464113539791105,0.680663442459526
258,0.6469295491380035,0.6788191579538133
259,0.6469557989386516,0.6809309600218846
260,0.6465345563977264,0.6797680712644916
261,0.6456949976756112,0.6794303940127999
262,0.6453087854777151,0.6793526519362338
263,0.64558592622526,0.6788085526012483
264,0.6460337356998898,0.6807736814372267
265,0.6461081494112239,0.6780139032800213
266,0.6456463666681237,0.6795528134315985
267,0.6453051147312391,0.6790362072555933
268,0.6454250484546493,0.6782801077151265
269,0.6457254928538446,0.6808413864076189
270,0.6457695021411837,0.6780981924423934
271,0.645480757289555,0.6798853453561692
272,0.6452850320112565,0.6786517019695781
273,0.6453851055847803,0.6786479513070219
274,0.6455612384072158,0.680067602355846
275,0.6455535126779379,0.6782928868384839
276,0.6453717620807239,0.6793866471538414
277,0.6452807204610895,0.678727167376739
278,0.6453646653246017,0.6792672730489612
279,0.6454625078390114,0.6792051375814825
280,0.6454359616027328,0.6786619092740998
281,0.6453213313762031,0.6790205616598576
282,0.6452739789935842,0.6790725424482873
283,0.6453284690160388,0.6785342834757842
284,0.6453854485561143,0.6797555588203539
